text,acq,alum,barley,bop,carcass,castor-oil,cocoa,coconut,coconut-oil,coffee,copper,copra-cake,corn,cotton,cotton-oil,cpi,cpu,crude,dfl,dlr,dmk,earn,fuel,gas,gnp,gold,grain,groundnut,groundnut-oil,heat,hog,housing,income,instal-debt,interest,ipi,iron-steel,jet,jobs,l-cattle,lead,lei,lin-oil,livestock,lumber,meal-feed,money-fx,money-supply,naphtha,nat-gas,nickel,nkr,nzdlr,oat,oilseed,orange,palladium,palm-oil,palmkernel,pet-chem,platinum,potato,propane,rand,rape-oil,rapeseed,reserves,retail,rice,rubber,rye,ship,silver,sorghum,soy-meal,soy-oil,soybean,strategic-metal,sugar,sun-meal,sun-oil,sunseed,tea,tin,trade,veg-oil,wheat,wpi,yen,zinc
"EC APPOINTS NEW TRADE CHIEF. The European Community Commission today appointed its chief spokesman, Hugo Paemen, as its top official in charge of multilateral trade negotiations, a Commission spokesman said. Paemen, a Belgian official who had previously been chief aide to former External Affairs Commissioner Etienne Davignon, has been in his post since January 1985. The spokesman said Paemen will continue as chief spokesman until the retirement on May 1 of Paul Luyten, who is now in charge of EC departments handling negotiations in the world trade body GATT, the OECD and other forums. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PUBLISHERS EQUIPMENT CORP <PECN> YEAR NET. Shr profit eight cts vs loss 23 cts Net profit 251,000 vs loss 731,000 Revs 29.1 mln vs 25.9 mln Backlog 18.9 mln vs 12.5 mln Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U.K. REVISES RETAIL PRICE INDEX FROM FEBRUARY. The U.K. Government tomorrow will release the first of its Retail Price Index (RPI) figures calculated on a revised group of components and rebased on January 1987, as previously announced, the Employment Department said. The index, Britain's measure of inflation, is for February. Earlier data will not be revised as there are no equivalent figures including the new components, a spokesman said. Previously, the RPI base was January, 1974. Market forecasts centre on a 0.4-0.5 pct monthly rise in February and a year on year rate about 4.0 pct. The government forecasts annual inflation will be 4.0 pct at the end of 1987. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOECHST CELANESE SETS EXPANSION PROGRAM. Hoechst AG's <HFAG.F> U.S. unit, Hoechst Celanese Corp, said it has begun projects that will cost more than 150 mln dlrs. The unit was formed last month when Hoechst completed the acquisition of Celanese for 2.84 billion dlrs. The company said it will expand its Sanwet super absorbent polymers unit and its acrylic acid facility. It also said it plans an acetaminophen production plant at Bishop, Texas. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTEK INC <NTK> SETS QUARTERLIES. Qtly div common 2-1/2 cts vs 2-1/2 cts prior Qtly div special common one ct vs one ct Pay May Eight Record April Three Reuter ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAPAN STUDY URGES FOREIGN ACCESS TO FARM MARKETS. Japan should increase foreign access to its farm products market, while encouraging further development of domestic agriculture, a government report said. The white paper on agriculture for the year ended March 31 said active participation in writing world farm trade rules at the next round of General Agreement on Tariffs and Trade (GATT) talks will help prepare Japan to improve access. Agriculture Ministry sources said the paper marked an easing in Japan's tough position on agricultural imports which stressed the need for strict controls on some products to maintain self-sufficiency in food. Japan now produces only 30 pct of its annual grain needs, down from 61 pct some 20 years ago, official figures show. The paper said Japanese agriculture has been slow to improve productivity and demand/supply imbalances. The relative shortage of farmland in Japan is mainly responsible for higher domestic prices, it said. The strong yen has meant lower input material prices but has also resulted in higher agricultural imports which has worsened working conditions among part-time farmers, the paper said. This could make it difficult to improve the industry's structure, the paper said. To solve these problems and to reduce farm product prices to more reasonable levels, Japan should try to restructure the the agricultural sector to improve productivity and make it self-supporting, it said. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EQK REALTY INVESTORS I <EKR> SETS PAYOUT. Qtrly div 41.5 cts vs 41.5 cts prior Pay July 29 Record June 15 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CITROEN EXPECTS HIGHER PROFITS, HELPED BY AX. Automobiles Citroen expects rising sales of its new AX compact car to help boost profits significantly this year, continuing a financial recovery after six straight years of losses, president Jacques Calvet said. Speaking to reporters during weekend trials for the new AX sports model, he said: ""All the budgetary forecasts that we have been able to make ... Show a relatively significant improvement in 1987, compared with 1986,"" he added. Citroen, part of the private Peugeot SA <PEUP.PA> group, increased its share of the French new car market to 13.7 pct in first two months 1987 from 12.1 pct a year earlier. It is aiming for an average 12.8 pct share throughout the year after 11.7 pct in 1986. The firm believes it is on target to raise its share of the European market, excluding France, to 3.2 pct this year from 2.9 pct in 1986. ""Our first problem is to produce enough vehicles to meet the demand,"" Calvet said. ""This is a relatively new problem for us."" Citroen lost close to two billion francs in 1984 but cut the deficit to 400 mln in 1985, helped by moves to modernise its range and improve productivity. Calvet indicated last December he expected Citroen's 1986 profit to be between 250 and 500 million francs. This weekend he said that those profit estimates ""remain about the same -- perhaps even a little more optimistic."" Some of this optimism is due to the early success of the AX, launched on the French market last October. It will be available throughout most of western Europe within four months. The car has registered just over 20,000 sales. It is being built at Citroen's large plant at Aulnay-sous- Bois in northern Paris, as well as at Rennes in Brittany and Vigo in Spain, with production just reaching target level of 1,000 cars a day. The car, which Citroen markets as an intermediate model between its long-running 2CV and the Visa, is designed to compete with the Renault 5, Volkswagen Polo and Opel Corsa. The AX had built up its market share in France to around four pct last month. Calvet said: ""Our hope is that once the AX is fully developed, we will have between 6.5 and seven per cent of the national market."" REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNION MINIERE TAKES STAKE IN PANCONTINENTAL. <Union Miniere SA> said in a statement that it has acquired an eight pct interest in Pancontinental Mining Ltd <PANA.S> for a sum equivalent to 1.2 billion Belgian francs. Pancontinental operates gold and coal mines in Australia and natural gas and oil fields in Canada. Union Miniere said the location of its interest within the Pancontinental group will be decided later. It did not elaborate. Union Miniere is a wholly owned subsidiary of Societe Generale de Belgique <BELB.BR>. REUTER ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMPAL-AMERICAN ISRAEL CORP <AIS.A> YEAR NET. Shr 27 cts vs 25 cts Net 6,416,000 vs 5,988,000 Revs 112.2 mln vs 99.8 mln NOTE: 1985 includes extraordinary income of 647,000 dlrs or three cts/shr. 1985 restated. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOLLY CORP <HOC> 2ND QTR JAN 31 LOSS. Shr loss 45 cts vs profit 20 cts Net loss 1,841,000 vs profit 983,000 Revs 56.2 mln vs 102.9 mln Avg shrs 4,127,000 vs 4,835,000 1st half Oper shr four cts vs 80 cts Oper net 172,000 vs 4,359,000 Revs 121.4 mln vs 209.3 mln Avg shrs 4,127,000 vs 5,439,000 NOTE: Current half net excludes 706,000 dlr loss from discontinued oil and natural gas operations. Share adjusted for three-for-one stock split and recapitalization in December 1985. Prior year net both periods includes pretax charge of 2,300,000 dlrs from recapitalization costs. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHASE-AMP BANK CUTS AUSTRALIAN PRIME TO 17.75 PCT. <Chase-AMP Bank Ltd> said it will lower its prime lending rate to 17.75 pct from 18.25, effective tomorrow. The bank is the first to lower its prime rate below the 18 pct set by a few banks in the last few days in a continuation of a downward trend which began late last month. Other prime rates range from 18.25 to 18.5 pct, with the majority on 18.25. The bank said the reduction reflected the recent downturn in money market rates, the improved economic outlook and adequate liquidity in the second quarter tax rundown period. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARK IV SAYS IT DOES NOT PLAN BAIRD <BATM> BUY. Mark IV Industries Inc <IV>, which has said it is mulling a bid to seek control of Baird Corp, said it has no present plans to acquire more than 25 pct of the company's total outstanding common stock. In a filing with the Securities and Exchange Commission, Mark IV said its top officials told Baird executives at a March 17 meeting that while Mark IV may buy more Baird common stock, it presently intends to hold it to the 25 pct limit. Mark IV, which first disclosed its stake and interest in Baird on March 10, has reported it holds 391,800 Baird common shares, or 17.6 pct of the total outstanding. Mark IV said it also agreed at the meeting that if it decides to seek control of Baird, it would be through a negotiated merger or business combination or through a tender offer in which Baird would have at least 24 hours notice. Baird, in turn, agreed not to take any defensive measures without giving Mark IV at least 24 hours notice, it said. Baird also confirmed that a takeover defense plan it already has which is triggered by the accumulation of more than 25 pct of its stock, would not be triggered by a tender offer, Mark IV said. Both parties also agreed to adjourn pending litigation they have against one another, it added. Reuter ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumita says Bank of Japan has no intention of lowering its discount rate. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCC ACCEPTS EXPORT BONUS FOR CATTLE TO EGYPT. The U.S. Commodity Credit Corporation (CCC) has accepted a bid for an export bonus to cover a sale of 186 head of dairy cattle to Egypt, the U.S. Agriculture Department said. The department said the cattle are for delivery May 7-June 7, 1987, and the bonus awarded was 1,888.06 dlrs per head. The bonus was made to First Interstate Trading Co and will be paid to the exporter in the form of commodities from CCC stocks, the department said. An additional 7,959 head of dairy cattle are still available to Egypt under the Export Enhancement Program initiative announced September 12, 1986, it said. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIETNAM TO RESETTLE 300,000 ON STATE FARMS IN 1987. Vietnam will resettle 300,000 people on state farms known as new economic zones in 1987, to create jobs and grow more high-value export crops, the communist party newspaper Nhan Dan said. Yesterday's edition, received here today, said Vietnam would invest one billion dong, including the costs of relocation, in 272 new economic zones. About one third of that sum would be spent on export crops such as coffee, tea, rubber and pepper in the Central Highlands, it said. Since 1975, Vietnam has resettled about three million people from cities and crowded river deltas to the zones. REUTER ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
